date,time,number,abbr,sector,status,value
2004-02-11,10:01:54.397,MQ0Y3T-R,VMC,Non-Energy Minerals,MERGED,0.55619367
2004-02-11,10:01:54.397,PM2QVZ-R,PII,Consumer Durables,MERGED,0.55575931
2004-02-11,10:01:54.397,QMX32N-R,ALE,Utilities,MERGED,0.55517325
2004-02-11,10:01:54.397,L0TLL1-R,BDN,Finance,MERGED,0.55323314
2004-02-11,10:01:54.397,FVD0PB-R,KWD,Consumer Non-Durables,MERGED,0.55071228
2004-02-11,10:01:54.397,D3WC7Q-R,ARRO,Health Technology,MERGED,0.54913087
2004-02-11,10:01:54.398,S8ZPBT-R,TJX,Retail Trade,MERGED,0.54823053
2004-02-11,10:01:54.398,HTP7VN-R,RRX,Producer Manufacturing,MERGED,0.54798372
2004-02-11,10:01:54.398,MKJ3FL-R,DP,Health Technology,MERGED,0.54685243
2004-02-11,10:01:54.398,QHBXV5-R,EOG,Energy Minerals,MERGED,0.54658718
2004-02-11,10:01:54.398,C4CX1F-R,KEYS.XX2,Distribution Services,MERGED,0.54631688
2004-02-11,10:01:54.398,PGDZT4-R,EV,Finance,MERGED,0.54542414
2004-02-11,10:01:54.398,V3M7LC-R,HSC,Industrial Services,MERGED,0.54191419
2004-02-11,10:01:54.398,BL5JSW-R,BEZ,Producer Manufacturing,MERGED,0.54049066
2004-02-11,10:01:54.398,MQ18S4-R,RGC.XX1,Consumer Services,MERGED,0.53914224
2004-02-11,10:01:54.398,PTS8PR-R,AGY,Consumer Services,MERGED,0.53472286
2004-02-11,10:01:54.398,HP58X9-R,AAP,Retail Trade,MERGED,0.53422236
2004-02-11,10:01:54.398,KHX8Q2-R,DGX,Health Services,MERGED,0.53300186
2004-02-11,10:01:54.398,CJVKH9-R,CLX,Consumer Non-Durables,MERGED,0.53277368
2004-02-11,10:01:54.398,FV824M-R,CNP,Utilities,MERGED,0.53103768
2004-02-11,10:01:54.398,N834FG-R,CRRTQ,Non-Energy Minerals,MERGED,0.53101361
2004-02-11,10:01:54.398,FML4HF-R,RWT,Finance,MERGED,0.52638916
2004-02-11,10:01:54.398,L8SKLT-R,BMY,Health Technology,MERGED,0.52433952
2004-02-11,10:01:54.398,D1LNDC-R,HPOL,Commercial Services,MERGED,0.5233947
2004-02-11,10:01:54.398,JH4NV1-R,TALO,Energy Minerals,MERGED,0.5230627
2004-02-11,10:01:54.398,NW8BQ3-R,MKC,Consumer Non-Durables,MERGED,0.52269779
2004-02-11,10:01:54.398,NGW97P-R,OKE,Industrial Services,MERGED,0.52250558
2004-02-11,10:01:54.398,BDP5X0-R,BGGSQ,Producer Manufacturing,MERGED,0.52178635
2004-02-11,10:01:54.399,NQTR8Z-R,JEF,Finance,MERGED,0.52125637
2004-02-11,10:01:54.399,VDT85V-R,PH,Producer Manufacturing,MERGED,0.5208255
2004-02-11,10:01:54.399,XBV8KC-R,SBR,Energy Minerals,MERGED,0.51985993
2004-02-11,10:01:54.399,DMRTGW-R,GVA,Industrial Services,MERGED,0.51830757
2004-02-11,10:01:54.399,JDQZCY-R,VAL.XX1,Process Industries,MERGED,0.51825363
2004-02-11,10:01:54.399,KFJFWS-R,IEX,Producer Manufacturing,MERGED,0.51811442
2004-02-11,10:01:54.399,CZB1R3-R,HDLM,Distribution Services,MERGED,0.51743709
2004-02-11,10:01:54.399,BV8GCC-R,STJ,Health Technology,MERGED,0.516072
2004-02-11,10:01:54.399,SY970M-R,HUG,Distribution Services,MERGED,0.51512261
2004-02-11,10:01:54.399,KJXY2S-R,SHU,Transportation,MERGED,0.51259459
2004-02-11,10:01:54.399,HSFL3C-R,PPG,Process Industries,MERGED,0.51242013
2004-02-11,10:01:54.399,RYR8ZY-R,SCHN,Non-Energy Minerals,MERGED,0.51149572
2004-02-11,10:01:54.399,N91RY8-R,WFSI,Finance,MERGED,0.51076391
2004-02-11,10:01:54.399,PHJ2V4-R,HAR,Consumer Durables,MERGED,0.50838575
2004-02-11,10:01:54.399,VS1X41-R,CAR,Finance,MERGED,0.50748732
2004-02-11,10:01:54.399,WGS79Y-R,CACI,Technology Services,MERGED,0.50497585
2004-02-11,10:01:54.399,C7M7DL-R,LH,Health Services,MERGED,0.50475928
2004-02-11,10:01:54.399,S8Z499-R,WST,Health Technology,MERGED,0.50314215
2004-02-11,10:01:54.399,G4B58F-R,OA,Electronic Technology,MERGED,0.50028767
2004-02-11,10:01:54.399,DQ6GRW-R,MHO,Consumer Durables,MERGED,0.49940814
2004-02-11,10:01:54.399,HD2T24-R,PAS,Consumer Non-Durables,MERGED,0.49885869
2004-02-11,10:01:54.400,L8N68Q-R,WSO,Producer Manufacturing,MERGED,0.49830479
2004-02-11,10:01:54.400,TBWW27-R,EDE,Utilities,MERGED,0.49780527
2004-02-11,10:01:54.400,V3RT9N-R,SPCBQ,Producer Manufacturing,MERGED,0.49663503
2004-02-11,10:01:54.400,BPRHF0-R,DUK,Utilities,MERGED,0.49660508
2004-02-11,10:01:54.400,PHKDBC-R,NHP,Finance,MERGED,0.49434511
2004-02-11,10:01:54.400,G49K2V-R,BG,Process Industries,MERGED,0.49255761
2004-02-11,10:01:54.400,CP8GLS-R,PDG,Non-Energy Minerals,MERGED,0.48984172
2004-02-11,10:01:54.400,QLL1T4-R,ABM,Commercial Services,MERGED,0.48956106
2004-02-11,10:01:54.400,G5LLGF-R,GSS,Non-Energy Minerals,MERGED,0.48902463
2004-02-11,10:01:54.400,C9W7Y9-R,NXGN,Technology Services,MERGED,0.4883673
2004-02-11,10:01:54.400,HZ3NYM-R,MBG.XX9,Consumer Services,MERGED,0.48827681
2004-02-11,10:01:54.400,GYG61J-R,JW.A,Consumer Services,MERGED,0.48800731
2004-02-11,10:01:54.400,M79KQJ-R,SEH,Producer Manufacturing,MERGED,0.4868877
2004-02-11,10:01:54.400,BYKM67-R,SAFM,Consumer Non-Durables,MERGED,0.48647932
2004-02-11,10:01:54.400,B5PV8Z-R,INGR.XX1,Technology Services,MERGED,0.4844823
2004-02-11,10:01:54.400,JT71M6-R,AMG,Finance,MERGED,0.48339696
2004-02-11,10:01:54.400,H8NQRL-R,LNCE,Consumer Non-Durables,MERGED,0.48055459
2004-02-11,10:01:54.400,V6ZQWF-R,MLM,Non-Energy Minerals,MERGED,0.47961322
2004-02-11,10:01:54.400,SNBZ7F-R,PBG,Consumer Non-Durables,MERGED,0.47923404
2004-02-11,10:01:54.400,H57MD0-R,EAC.XX1,Energy Minerals,MERGED,0.47797343
2004-02-11,10:01:54.400,CN8KNS-R,CENT,Consumer Non-Durables,MERGED,0.47780067
2004-02-11,10:01:54.400,FK9ZPL-R,PLD.XX2,Finance,MERGED,0.47749291
2004-02-11,10:01:54.401,W0Z2R4-R,FUL,Process Industries,MERGED,0.47545395
2004-02-11,10:01:54.401,G12D1V-R,BKE,Retail Trade,MERGED,0.47326756
2004-02-11,10:01:54.401,NWCQ48-R,WEN.XX9,Consumer Services,MERGED,0.47275539
2004-02-11,10:01:54.401,FV848P-R,PENG,Energy Minerals,MERGED,0.47218249
2004-02-11,10:01:54.401,MNWT3V-R,SLGN,Process Industries,MERGED,0.47172494
2004-02-11,10:01:54.401,SD8B66-R,MKC.V,Consumer Non-Durables,MERGED,0.46838716
2004-02-11,10:01:54.401,GFCYSY-R,TBI.XX9,Energy Minerals,MERGED,0.46793972
2004-02-11,10:01:54.401,KNBF8S-R,WRC.XX1,Energy Minerals,MERGED,0.46775864
2004-02-11,10:01:54.401,B97MP0-R,PLD,Finance,MERGED,0.46644867
2004-02-11,10:01:54.401,WCBS91-R,SCCO,Non-Energy Minerals,MERGED,0.46600097
2004-02-11,10:01:54.401,VMM9PX-R,RS,Non-Energy Minerals,MERGED,0.4643924
2004-02-11,10:01:54.401,LQ7KY5-R,HRB,Consumer Services,MERGED,0.4635403
2004-02-11,10:01:54.401,PQGZLR-R,ADVP.XX1,Health Services,MERGED,0.4625857
2004-02-11,10:01:54.401,BGSZCR-R,EASI.XX1,Electronic Technology,MERGED,0.4623179
2004-02-11,10:01:54.401,JDQ0K1-R,AZO,Retail Trade,MERGED,0.45900851
